Title,CAS Number,Use(s),Synonym(s),Latest Criteria,Inhalation Unit Risk (μg/cubic meter)-1,Inhalation Slope Factor (mg/kg-day)-1,Oral Slope Factor (mg/kg-day)-1,Last Cancer Potency Revision,Acute REL (μg/m3),Species,Acute REL Toxicologic Endpoint,Acute REL Target Organs,Severity,Last Acute REL Revision,8-Hour Inhalation REL (μg/m3),Last 8-Hour REL Revision,Chronic Inhalation REL (μg/m3),Chronic Toxicologic Endpoint,Chronic Target Organs,Human Data,Health Risk Category,Cancer Risk at PHG,MCL value (mg/L),Cancer Risk at MCL,Notification Level (μg/L),Public Health Goal (mg/L),Last PHG Revision,No Significant Risk Level (NSRL) - Inhalation,No Significant Risk Level (NSRL) - Oral,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Inhalation,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Oral,Last NSRL/MADL Revision,Cancer,Cancer - Listing Mechanism,Reproductive Toxicity,Chemical listed under Proposition 65 as causing,Developmental Toxicity - Date of Listing,Developmental Toxicity - Listing Mechanism,Female Reproductive Toxicity - Date of Listing,Female Reproductive Toxicity - Listing Mechanism,Male Reproductive Toxicity - Date of Listing,Male Reproductive Toxicity - Listing Mechanism,"Child-specific refence dose (chRD) (mg/kg-day, unless noted)",Last chRD revision,CHHSL Commercial Non-volatile (mg/kg soil),"CHHSL Commercial Volatile, engineered fill (mcg/l soil gas)","CHHSL Commercial Volatile, no engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, no engineered fill (mcg/l soil gas)",Soil/soil-gas screening number (CHHSL) Residential Non-volatile (mg/kg soil)
Abiraterone acetate,154229-18-2,A CYP17 inhibitor indicated in combination with prednisone for the treatment of patients with metastatic castration-resistant prostate cancer.,"17-(3-Pyridyl)-5,16-androstadien-3beta-acetate; trade name: Zytiga®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity, Female Reproductive Toxicity",4/8/2016,FR,4/8/2016,FR,4/8/2016,FR,,,,,,,,
Acephate,30560-19-1,Organophosphate foliar insecticide,"Phosphoramidothioic acid, acetyl-, O,S-dimethyl ester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetaldehyde,75-07-0,"Chemical intermediate in the production of perfumes, resins, and dyes; fruit and fish preservative, flavoring agent, denaturant for alcohol; solvent; component of tobacco smoke",Acetic aldehyde; Ethanal; Ethyl aldehyde,Reference Exposure Levels,2.7 E-6,1.0 E-2,,,470,Human,Respiratory and eye irritation,Respiratory system; eyes,,2008,300,2013,140,,Respiratory system,No,,,,,,,,90 µg/day,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Acetamide,60-35-5,"Plasticizer, industrial solvent; component of tobacco smoke","acetic acid amide, ethanamide, methane carboxamide",Proposition 65 NSRLs/MADLs,2.0 E-5,7.0 E-2,7.0 E-2,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Acetaminophen,103-90-2,Analgesic and antipyretic agent used for the relief of fever as well as aches and pains associated with many conditions,"Paracetamol; Tylenol; abensanil; acetagesic; acetamide, n-(4-hydroxyphenyl)-; p-acetamidophenol; 4-acetamidophenol; acetaminofen; p-acetaminophenol; acetanilide, 4'-hydroxy-; n-acetyl-p-aminophenol; n-acetyl-4-aminophenol; p-acetylaminophenol; alvedon; amadil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under consideration,,,,,,,,,,,,,,,,,
Acetazolamide,59-66-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,8/20/1999,FR,,,,,,,,,,,,
Acetochlor,34256-82-1,Herbicide,2-Chloro-N-(ethoxymethyl)-N-(2-ethyl-6-methylphenyl)acetamide; Azetochlor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Acetohydroxamic Acid,546-88-3,Medicine (treatment for urinary tract infections),Ethanehydroxamic acid; Lithostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,4/1/1990,FR,,,,,,,,,,,,
Acetoxime,127-06-0,Corrosion inhibitor; industrial intermediate,"2-Propanone oxime; Acetone oxime; Acetonoxime; beta-Isonitrosopropane; 2-Propanone, oxime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,,,
2-Acetylaminofluorene,53-96-3,Research chemical (induces cancer),"AAF; 2-AAF, 2-Acetaminofluorene; N-Acetyl-2-aminofluorene; FAA; 2-FAA; 2-Fluorenylacetamide; N-(9H-fluoren-2-yl)acetamide",Proposition 65 NSRLs/MADLs,1.3 E-3,3.8 E+0,3.8 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Acifluorfen Sodium,62476-59-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
