STATE OF CALIFORNIA,,,,,,,,,,,,
ENVIRONMENTAL PROTECTION AGENCY,,,,,,,,,,,,
OFFICE OF ENVIRONMENTAL HEALTH HAZARD ASSESSMENT,,,,,,,,,,,,
SAFE DRINKING WATER AND TOXIC ENFORCEMENT ACT OF 1986,,,,,,,,,,,,
,,,,,,,,,,,,
CHEMICALS KNOWN TO THE STATE TO CAUSE CANCER OR REPRODUCTIVE TOXICITY,,,,,,,,,,,,
13-Sep-19,,,,,,,,,,,,
,,,,,,,,,,,,
"The Safe Drinking Water and Toxic Enforcement Act of 1986 requires that the Governor revise and republish at least once per year the list of chemicals known to the State to cause cancer or reproductive toxicity.  For easy reference, chemicals which are newly added are shown in underline.  Chemicals or endpoints shown in strikeout were placed on the Proposition 65 list on the date noted, and have subsequently been removed.  A hyperlink is provided for the basis for removing the chemical.",,,,,,,,,,,,
"In the Listing Mechanism column, ""AB"" denotes authoritative bodies, ""SQE"" denotes State's Qualified Experts, ""FR"" denotes formally required to be labeled or identified, and ""LC"" denotes Labor Code.  For those chemicals for which the basis for listing documentation is available electronically, a hyperlink to the documentation is provided.  The identification number indicated in the following list is the Chemical Abstracts Service (CAS) Registry Number.  No CAS number is given when several substances are presented as a single listing.  The date refers to the initial appearance of the chemical on the list.  For those chemicals for which a no significant risk level (NSRL) for carcinogens or maximum allowable dose level (MADL) for reproductive toxicants has been adopted, it is denoted in the column, ""NSRL or MADL.""  For those NSRLs or MADLs for which the risk assessment documentation is available electronically, a hyperlink to the documentation is provided.",,,,,,,,,,,,
,,,,,,,,,,,,
Chemical,Type of Toxicity,Listing Mechanism,CAS No.,Date Listed,NSRL or MADL (µg/day)a,,,,,,,
"A-alpha-C (2-Amino-9H-pyrido[2,3-b]indole)",cancer,AB,26148-68-5,1-Jan-90,2,,,,,,,
Abiraterone acetate,"developmental, female, male ",FR,154229-18-2,8-Apr-16,,,,,,,,
Acetaldehyde,cancer,SQE,75-07-0,1-Apr-88,90 (inhalation),,,,,,,
Acetamide,cancer ,AB,60-35-5,1-Jan-90,10,,,,,,,
Acetazolamide   ,developmental  ,FR,59-66-5,20-Aug-99,,,,,,,,
Acetochlor,cancer,SQE,34256-82-1,1-Jan-89,,,,,,,,
Acetohydroxamic acid,developmental,FR,546-88-3,1-Apr-90,,,,,,,,
2-Acetylaminofluorene,cancer,SQE,53-96-3,1-Jul-87,0.2,,,,,,,
Acifluorfen sodium,cancer,AB,62476-59-9,1-Jan-90,,,,,,,,
Acrylamide,cancer,AB,79-06-1,1-Jan-90,0.2,,,,,,,
Acrylamide,"developmental, male ",AB,79-06-1,25-Feb-11,140,,,,,,,
Acrylonitrile,cancer,FR,107-13-1,1-Jul-87,0.7,,,,,,,
"Actinomycin D [Basis for listing changed effective February 22, 2013]",cancer,FR,50-76-0,1-Oct-89,0.00008,,,,,,,
Actinomycin D,developmental,FR,50-76-0,1-Oct-92,,,,,,,,
AF-2;[2-(2-furyl)-3-(5-nitro-2-furyl)]acrylamide,cancer,SQE,3688-53-7,1-Jul-87,3,,,,,,,
Aflatoxins,cancer,SQE,---,1-Jan-88,,,,,,,,
Alachlor,cancer,SQE,15972-60-8,1-Jan-89,,,,,,,,
Alcoholic beverages,cancer,LC,---,29-Apr-11,,,,,,,,
"Alcoholic beverages, when associated with alcohol abuse",cancer,SQE,---,1-Jul-88,,,,,,,,
Aldrin,cancer,SQE,309-00-2,1-Jul-88,0.04,,,,,,,
All-trans retinoic acid,developmental ,SQE,302-79-4,1-Jan-89,,,,,,,,
"Allyl chloride  Delisted October 29, 1999 [Click here for the basis for delisting]",cancer,AB,107-05-1,1-Jan-90,,,,,,,,
"Aloe Vera, non-decolorized whole leaf extract",cancer,LC,---,4-Dec-15,,,,,,,,
Alprazolam,developmental ,FR,28981-97-7,1-Jul-90,,,,,,,,
Altretamine,"developmental, male ",FR,645-05-6,20-Aug-99,,,,,,,,
Amantadine hydrochloride,developmental ,FR,665-66-7,27-Feb-01,,,,,,,,
Amikacin sulfate,developmental,FR,39831-55-5,1-Jul-90,,,,,,,,
2-Aminoanthraquinone,cancer,LC,117-79-3,1-Oct-89,20,,,,,,,
p-Aminoazobenzene,cancer,AB,60-09-3,1-Jan-90,,,,,,,,
o-Aminoazotoluene,cancer,SQE,97-56-3,1-Jul-87,0.2,,,,,,,
4-Aminobiphenyl (4-aminodiphenyl),cancer,LC,92-67-1,27-Feb-87,0.03,,,,,,,
2-Amino-4-chlorophenol,cancer,LC,95-85-2,13-Sep-19,,,,,,,,
"1-Amino-2,4-dibromoanthraquinone",cancer ,AB,81-49-2,26-Aug-97,,,,,,,,
3-Amino-9-ethylcarbazole hydrochloride,cancer,SQE,6109-97-3,1-Jul-89,9,,,,,,,
2-Aminofluorene,cancer ,SQE,153-78-6,29-Jan-99,,,,,,,,
Aminoglutethimide,developmental,FR,125-84-8,1-Jul-90,,,,,,,,
Aminoglycosides,developmental ,FR,---,1-Oct-92,,,,,,,,
1-Amino-2-methylanthraquinone,cancer,LC,82-28-0,1-Oct-89,5,,,,,,,
"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",cancer,SQE,712-68-5,1-Jul-87,0.04,,,,,,,
4-Amino-2-nitrophenol,cancer ,SQE,119-34-6,29-Jan-99,,,,,,,,
Aminopterin,"developmental, female",SQE,54-62-6,1-Jul-87,,,,,,,,
Amiodarone hydrochloride,"developmental, female, male ",FR,19774-82-4,26-Aug-97,,,,,,,,
Amitraz,developmental ,AB,33089-61-1,30-Mar-99,,,,,,,,
Amitrole,cancer,SQE,61-82-5,1-Jul-87,0.7,,,,,,,
Amoxapine,developmental ,FR,14028-44-5,15-May-98,,,,,,,,
Amsacrine,cancer ,LC,51264-14-3,7-Aug-09,,,,,,,,
"tert-Amyl methyl ether  Delisted December 13, 2013 [Click here for the basis for delisting]",developmental ,LC,994-05-8,18-Dec-09,,,,,,,,
Anabolic steroids,"female, male",FR,---,1-Apr-90,,,,,,,,
Analgesic mixtures containing Phenacetin,cancer,LC,---,27-Feb-87,,,,,,,,
Androstenedione,cancer,AB,63-05-8,3-May-11,,,,,,,,
Angiotensin converting enzyme  (ACE) inhibitors,developmental,FR,---,1-Oct-92,,,,,,,,
Aniline,cancer,AB,62-53-3,1-Jan-90,100,,,,,,,
Aniline hydrochloride,cancer ,AB,142-04-1,15-May-98,,,,,,,,
o-Anisidine,cancer,SQE,90-04-0,1-Jul-87,5,,,,,,,
o-Anisidine hydrochloride,cancer,SQE,134-29-2,1-Jul-87,7,,,,,,,
Anisindione,developmental,FR,117-37-3,1-Oct-92,,,,,,,,
Anthraquinone,cancer ,AB,84-65-1,28-Sep-07,,,,,,,,
Antimony oxide (Antimony trioxide),cancer,AB,1309-64-4,1-Oct-90,,,,,,,,
Aramite,cancer,SQE,140-57-8,1-Jul-87,20,,,,,,,
Areca nut,cancer ,LC,  ---,3-Feb-06,,,,,,,,
Aristolochic acids,cancer ,LC,  ---,9-Jul-04,,,,,,,,
Arsenic (inorganic arsenic compounds),cancer,LC,--,27-Feb-87,"0.06 (inhalation)
10 (except inhalation)",,,,,,,
Arsenic (inorganic oxides),developmental,SQE,---,1-May-97,,,,,,,,
Asbestos,cancer,LC,1332-21-4,27-Feb-87,100 fibers/day (inhalation),,,,,,,
"Aspirin (NOTE:  It is especially  important not to use aspirin during the last three months of pregnancy,  unless specifically directed to do so by a physician because it may cause  problems in the unborn child or  complications during delivery.)","developmental, female",SQE,50-78-2,1-Jul-90,,,,,,,,
Atenolol,developmental ,FR,29122-68-7,26-Aug-97,,,,,,,,
Atrazine,"developmental, female",AB,1912-24-9,15-Jul-16,100 (oral),,,,,,,
Auramine,cancer,SQE,492-80-8,1-Jul-87,0.8,,,,,,,
Auranofin,developmental ,FR,34031-32-8,29-Jan-99,,,,,,,,
Avermectin B1 (Abamectin),developmental,AB,71751-41-2,3-Dec-10,4.4,,,,,,,
Azacitidine,cancer,AB,320-67-2,1-Jan-92,,,,,,,,
Azaserine,cancer,SQE,115-02-6,1-Jul-87,0.06,,,,,,,
Azathioprine,cancer,LC,446-86-6,27-Feb-87,0.4,,,,,,,
Azathioprine,developmental,FR,446-86-6,1-Sep-96,,,,,,,,
Azobenzene,cancer,AB,103-33-3,1-Jan-90,6,,,,,,,
,,,,,,,,,,,,
Barbiturates,developmental,FR,---,1-Oct-92,,,,,,,,
Beclomethasone dipropionate,developmental ,FR,5534-09-8,15-May-98,,,,,,,,
Benomyl,"developmental, male",SQE,17804-35-2,1-Jul-91,,,,,,,,
Benthiavalicarb-isopropyl,cancer ,AB,177406-68-7,1-Jul-08,,,,,,,,
Benz[a]anthracene,cancer,SQE,56-55-3,1-Jul-87,0.033 (oral),,,,,,,
