Index|Drug ID|Drug Name|Section LOINC|Section Display Name|MedDRA PT|PT ID|MedDRA LLT|LLT ID|Matching String|UMLS CUI|UMLS PrefName|Flag 1|Flag 2
000001|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Abdominal discomfort|10000059|Abdominal discomfort|10000059|abdominal discomfort|C0232487|Abdominal discomfort||
000002|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Abnormal dreams|10000125|Abnormal dreams|10000125|abnormal dreams|C0234458|Dream disorder||
000003|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Agitation|10001497|Agitation|10001497|agitation|C0085631|Agitation||
000004|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Alanine aminotransferase increased|10001551|Alanine aminotransferase increased|10001551|alanine aminotransferase increased|C0151905|Alanine aminotransferase increased||
000005|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Alcohol interaction|10001597|Interaction with alcohol|10022527|interaction with alcohol|C0853206|Alcohol interaction||
000006|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Anaphylactic reaction|10002198|Anaphylaxis|10002218|anaphylaxis|C0002792|anaphylaxis||
000007|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Anaphylactic shock|10002199|Anaphylactic shock|10002199|anaphylactic shock|C0002792|anaphylaxis||
000008|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Angioedema|10002424|Angioedema|10002424|angioedema|C0002994|Angioedema||
000009|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Anxiety|10002855|Anxiety|10002855|anxiety|C0003467|Anxiety||
000010|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Aspartate aminotransferase increased|10003481|Aspartate aminotransferase increased|10003481|aspartate aminotransferase increased|C0151904|Aspartate aminotransferase increased||
